Conference,Year,Presenter:name,Presenter:gender,Presenter:seniority,Publication:title,Youtube_link
HiPEAC,2021,Simon Thorpe,Male,Senior Academic,Why spiking neural networks are important,https://youtu.be/8K5oc4y0Vas
LeadDev,2019,Franklin Hu,Male,Engineer,Building security culture on infrastructure teams,https://www.youtube.com/watch?v=-JtOKyELlr0
Nullcon,2021,Natalie Silvanovich,Female,Engineer,Exploiting Android Messengers with WebRTC,https://www.youtube.com/watch?v=SkeOWvDXvK4
AAAI,2021,Boyang Li,Male,Senior Academic,HyDRA: Hypergradient Data Relevance Analysis for Interpreting Deep Neural Networks,https://youtu.be/uLgHU1icW-o
AAAI,2021,Mengemeng Ma,Male,Junior Academic,Multimodal Learning with Severely Missing Modality,https://youtu.be/75P535ob5-Q
AAAI,2021,Prithviraj Ammanabrolu,Male,Senior Academic,"Automated Storytelling via Causal, Commonsense Plot Ordering",https://youtu.be/8j8kMa7U7gE
AAAI,2021,Shahira Abousamra,Male,Junior Academic,Localization in the Crowd with Topological Constraints,https://youtu.be/dGs6hdLIAh8
AAAI,2021,Shreyank Gowda,Male,Junior Academic,SMART Frame Selection for Action Recognition,https://youtu.be/X3spT18-Klg
AAAI,2021,Tian Shi,Male,Junior Academic,A Simple and Effective Self-Supervised Contrastive Learning Framework for Aspect Detection,https://youtu.be/2Ug_hwYyJL8
AAAI,2021,Weijia Li,Male,Senior Academic,Joint Semantic-Geometric Learning for Polygonal Building Segmentation,https://youtu.be/Kcnr22Wy02w
AAAI,2021,Xingjian Zhen,Male,Junior Academic,Flow-based Generative Models for Learning Manifold to Manifold Mappings,https://youtu.be/0r96U0vXsCM
AAAI,2021,Yichuan Li,Male,Junior Academic,Fact-Enhanced Synthetic News Generation,https://youtu.be/qnh8QAwu-Wg
AAAI,2021,Jong-Yeong Kim,Male,Junior Academic,Split-and-Bridge: Adaptable Class Incremental Learning within a Single Neural Network,https://youtu.be/HbZAJZvBrhQ
ACL,2021,Khyathi Raghavi Chandu,Male,Junior Academic,Grounding 'Grounding' in NLP,https://youtu.be/JolZhC_GoZU
ACL,2021,Nils Reimers,Male,Senior Academic,The Curse of Dense Low Dimensional Information Retrieval for Large Index Sizes,https://youtu.be/UZH0zpfNjyU
ACL,2021,Rishabh Bhardwaj,Male,Junior Academic,More Identifiable yet Equally Performant Transformers for Text Classification,https://youtu.be/hIUzZvpjGFI
Ai4,2020,Aamir Aftab,Male,Engineer,AI/ML predictive analytics for multi phase flow in oil and gas production forecasting with Chevron,https://www.youtube.com/watch?v=MNfyGESyfP4
Ai4,2020,Agus Sudjianto,Male,Engineer,Machine Learning Model Risk Management with Wells Fargo,https://www.youtube.com/watch?v=mG4oTLESC2E
Ai4,2020,Alexander Statnikov,Male,Engineer,An Algorithm for Growing & Evolving Data Science Teams and Tech Capabilities with Square,https://www.youtube.com/watch?v=xQ8MJaMX9Ig
Ai4,2020,AMIT DINGARE,Male,Engineer,Case Study on Using Machine Learning in Aluminum Industry with Novelis,https://www.youtube.com/watch?v=bphVG9Vw8_8
Ai4,2020,Andrew Feldman,Male,Engineer,Addressing the Demand for AI Compute: How Cerebras Built the World’s First Wafer-Scale Processor,https://www.youtube.com/watch?v=759Q88OVjtQ
Ai4,2020,Andrey Malevich,Male,Engineer,Practical Recommendations for Building Recommender Systems with Facebook,https://www.youtube.com/watch?v=RETEn5YLyO4
Ai4,2020,Anthony Chang,Male,Engineer,Common Misconceptions of AI in Medicine: A Clinician Data Scientist Perspective with CHOC Children's,https://www.youtube.com/watch?v=ATtEwodAQFI
Ai4,2020,Arun Verma,Male,Engineer,Quantitative Trading Strategies and Asset Pricing using Alternative Data and Machine learning,https://www.youtube.com/watch?v=J9OF8QIbCb8
Ai4,2020,Ben Zweig,Male,Engineer,Indexing Human Capital Data with Revelio Labs,https://www.youtube.com/watch?v=we6UteeBczc
Ai4,2020,Charles Givre,Male,Engineer,Data at REST? Unlocking Data from REST APIs with JPMorgan Chase,https://www.youtube.com/watch?v=XKemdlsKowo
Ai4,2020,CHIP HUYEN,Female,Engineer,Bridging the Gap Between Research and Production in Machine Learning with Snorkel AI,https://www.youtube.com/watch?v=m9PB0U6ZHMc
Ai4,2020,CHRIS GERPHEIDE,Female,Engineer,Research to Prod: Getting ML into real products at Bespoke,https://www.youtube.com/watch?v=xwS0-nssd-A
Ai4,2020,CHRIS MILLIGAN,Male,Engineer,AI: The driving force behind the smart factory and the fourth industrial revolution with Nissan,https://www.youtube.com/watch?v=86_nPrnN0ZM
Ai4,2020,Dan DeMers,Male,Engineer,The End of Integration: How a Data Fabric Turbocharges Your AI Transformation with Cinchy,https://www.youtube.com/watch?v=m0BEWs_dZ1E
Ai4,2020,Daniel Bruce,Male,Engineer,Unlocking the Business Value of Drones and Robotics with Computer Vision with Levatas,https://www.youtube.com/watch?v=Yn6c5oWbZSg
Ai4,2020,DEEPTHI CHANDRASEKARAN,Female,Engineer,Embedding AI in Utility Company’s DNA with National Grid,https://www.youtube.com/watch?v=bpc5VoF8jcY
Ai4,2020,Dipjyoti Das,Male,Engineer,Discussion Regarding Gaussian Mixture model to Acquire New Customers in Non Native Territories,https://www.youtube.com/watch?v=K_5Ij0OawjI
Ai4,2020,Enrico Santus,Male,Engineer,Natural Language Processing - Challenges and Opportunities in Healthcare with Bayer Pharmaceuticals,https://www.youtube.com/watch?v=PQwp9lPM4GQ
Ai4,2020,Glynn Dennis,Male,Engineer,Personalizing AI for Human Subjects in Clinical Trials with AstraZeneca,https://www.youtube.com/watch?v=hV6r-BH30FA
Ai4,2020,Jeff Evernham,Male,Engineer,How Intelligent Search Accelerates Drug Development with Sinequa,https://www.youtube.com/watch?v=O6mqbyrPrUQ
Ai4,2020,Joyonna Gamble-George,Female,Engineer,AI-Driven Predictive Analytics for Heart Disease with SCIX,https://www.youtube.com/watch?v=IDae44WGcF4
Ai4,2020,JUWEL RANA,Male,Engineer,Developing high Impact AI Strategy Fashion for Fashion Retail with Varner,https://www.youtube.com/watch?v=cZcF0DnQhV0
Ai4,2020,Krzysztof Geras,Male,Engineer,Explainable Deep Neural Networks for Medical Image Analysis with NYU Center for Data Science,https://www.youtube.com/watch?v=1R88pEyCIuM
Ai4,2020,Leslie Canavera,Female,Engineer,AI for a Changing Arctic with PolArctic LLC,https://www.youtube.com/watch?v=F-b6cz78RW4
Ai4,2020,Luis Moraes,Male,Engineer,Developing First-Generation Analytics: A Predictive Maintenance Case Study with Western Midstream,https://www.youtube.com/watch?v=-9vQrIxv3Gk
Ai4,2020,Madhu Kochar,Female,Engineer,Operationalize AI Throughout your Business with Intelligent Workflows With IBM,https://www.youtube.com/watch?v=QAxRavktnCQ
Ai4,2020,Marcus Fowler,Male,Engineer,Securing the New Normal: How Cyber AI Learns on the Job with DarkTrace,https://www.youtube.com/watch?v=PxAQQQ3VAl0
Ai4,2020,Marjan Mazrouei Sebdani,Female,Engineer,Emotion Classification: An NLP Application with Dun & Bradstreet,https://www.youtube.com/watch?v=_5N2vBUlZPo
Ai4,2020,Matt Zeiler,Male,Engineer,Powering the Enterprise with Computer Vision with Clarifai,https://www.youtube.com/watch?v=a3BGnijvx8Q
Ai4,2020,MEERA DAS,Female,Engineer,How to Curb the Rising Cost of AML Compliance with BMO Financial Group,https://www.youtube.com/watch?v=r_vbukW_4g4
Ai4,2020,Mike King,Male,Engineer,How BNY Mellon Accelerates Time to Value With AI-Powered Data Management with BNY Mellon,https://www.youtube.com/watch?v=gBQJaFf47Pg
Ai4,2020,Nicole Neumarker,Female,Engineer,Employing AI in Healthcare Analytics: COVID-19 and Other Predictive Use Cases with Cotiviti,https://www.youtube.com/watch?v=zA0hDRPd-hU
Ai4,2020,Nishan Subedi,Male,Engineer,Complexity in Recommender Systems with Overstock.com,https://www.youtube.com/watch?v=YFOVoxQHe7Q
Ai4,2020,Pearl Lieberman,Female,Engineer,Stop Operating Your AI In The Dark with Superwise,https://www.youtube.com/watch?v=S0uIu3U_H_o
